Label,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
BUD15_merged,234,120,81,806,316,168,148,225,241,245,224,1267,159,32,41,436,122,176,382,1025
C-20504-PHRED33Repaired,249,120,71,724,331,164,167,247,246,259,241,1606,226,19,57,663,82,275,119,542
C001-MERGED,233,121,72,1068,299,133,166,238,215,243,215,1349,225,1,70,554,14,522,14,758
C002-MERGED,245,114,84,420,315,180,135,241,246,250,239,1731,196,66,29,547,231,422,530,763
C003-MERGED,248,120,68,1029,336,162,174,238,247,262,238,1529,279,8,69,739,55,230,739,532
C004-MERGED,244,109,72,976,326,176,150,234,250,257,231,1409,233,9,66,653,41,204,610,754
C005-MERGED,244,129,72,1241,340,161,179,230,256,261,230,1268,184,13,52,507,71,112,507,942
C006-MERGED,211,112,84,417,275,142,133,213,204,215,204,1468,264,35,57,679,140,370,140,1139
C007-MERGED,230,75,55,2055,295,159,136,250,199,250,199,1148,207,1,78,521,7,521,7,466
C008-MERGED,242,114,83,499,314,178,136,237,244,248,234,1778,201,66,30,565,228,429,549,830
C009-MERGED,269,115,72,1153,355,197,158,254,269,284,254,1096,220,8,67,486,47,219,486,252
C010-MERGED,249,109,77,586,323,182,141,247,248,257,244,1639,232,30,48,630,118,303,181,372
C011-MERGED,229,118,80,773,310,164,146,221,235,239,219,1348,180,32,43,452,123,176,378,1093
C012-MERGED,217,114,83,583,288,151,137,220,208,223,208,1368,199,67,32,475,249,282,249,1155
C013-MERGED,256,85,65,1326,319,189,130,262,236,270,236,1961,366,1,71,829,13,710,13,12
C014-MERGED,240,114,85,470,311,177,134,235,242,245,233,1798,203,68,30,573,234,434,553,896
C016-MERGED,245,103,79,616,312,183,129,242,245,253,237,1610,227,52,39,595,201,387,448,467
C017-MERGED,206,120,85,360,280,139,141,204,207,211,202,1254,179,44,43,485,178,313,219,1340
C019-MERGED,257,111,79,602,323,183,140,259,248,264,248,1616,204,11,47,596,119,477,119,430
C020-MERGED,251,105,79,539,319,187,132,246,251,258,245,1630,222,39,41,598,164,344,507,369
C021-MERGED,264,105,75,1054,339,199,140,254,265,277,249,1267,222,16,55,469,83,315,428,220
C022-MERGED,234,126,85,567,312,164,148,235,232,241,227,1584,246,51,47,629,186,500,269,543
C023-MERGED,197,119,83,423,272,130,142,194,198,203,192,1435,200,41,43,522,168,379,367,1493
C025-MERGED,243,118,83,647,320,179,141,249,247,251,235,1008,133,25,39,327,104,134,301,712
C026-MERGED,238,77,77,791,295,195,100,227,243,247,227,3031,543,38,64,1440,155,466,1440,241
C027-MERGED,249,129,71,877,340,159,181,238,248,260,238,1969,357,15,67,952,97,412,952,383
C029-MERGED,207,115,83,419,272,134,138,209,200,211,200,1233,222,24,58,568,100,461,100,1159
C030-MERGED,245,99,85,411,308,192,116,243,247,250,239,1767,228,74,29,611,281,416,472,446
C031-MERGED,245,99,85,411,308,192,116,243,247,250,239,1767,228,74,29,611,281,416,472,446
C032-MERGED,245,114,85,406,315,181,134,241,246,250,239,1733,197,66,29,549,231,422,531,756
C033-MERGED,253,112,70,1044,335,176,159,243,256,267,239,1271,237,14,62,585,81,224,552,338
C034-MERGED,252,104,83,575,321,196,125,246,254,259,245,1758,201,57,32,584,217,411,514,335
C035-MERGED,211,112,84,417,275,142,133,213,204,215,204,1468,264,35,57,679,140,370,140,1139
C037-MERGED,248,99,85,435,310,194,116,245,249,253,241,1762,227,73,29,607,278,414,473,417
C038-MERGED,265,91,71,1076,337,210,127,270,271,278,250,1471,246,22,54,597,108,347,353,191
C039-MERGED,238,102,76,725,309,176,133,232,240,248,229,1541,270,14,63,693,63,267,551,663
C040-MERGED,243,94,77,845,313,192,121,235,251,254,232,1528,291,10,67,684,55,299,500,689
C041-MERGED,214,102,82,525,275,151,124,218,207,220,206,2126,328,91,45,897,296,500,342,1181
C042-MERGED,244,109,72,976,326,176,150,234,250,257,231,1409,233,9,66,653,41,204,610,754
C044-MERGED,258,137,68,975,356,157,199,252,251,271,248,2550,429,12,65,1139,83,514,1130,344
C045-MERGED,235,106,81,539,302,172,130,234,233,243,229,1581,250,33,47,595,148,507,412,635
C047-MERGED,214,105,82,521,278,150,128,217,207,220,207,1767,287,64,48,758,237,395,266,1175
